time="2025-03-06T16:05:58+01:00" level=info msg="Firewall rule added" firewallRule="map[caName: caSha: direction:outgoing endPort:0 groups:[] host:any ip: proto:0 startPort:0]"
time="2025-03-06T16:05:58+01:00" level=info msg="Firewall rule added" firewallRule="map[caName: caSha: direction:incoming endPort:0 groups:[] host:any ip: proto:0 startPort:0]"
time="2025-03-06T16:05:58+01:00" level=info msg="Firewall started" firewallHash=21716b47a7a140e448077fe66c31b4b42f232e996818d7dd1c6c4991e066dbdb
time="2025-03-06T16:05:58+01:00" level=info msg="Main HostMap created" network=192.168.80.3/24 preferredRanges="[]"
time="2025-03-06T16:05:58+01:00" level=info msg="UDP hole punching enabled"
time="2025-03-06T16:05:58+01:00" level=info msg="Loaded send_recv_error config" sendRecvError=always
time="2025-03-06T16:05:58+01:00" level=info msg="Nebula interface is active" build=1.6.1 interface=nebula network=192.168.80.3/24 udpAddr="0.0.0.0:4242"
time="2025-03-06T16:08:00+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3890711513 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:08:01+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3890711513 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:08:02+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3890711513 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:08:03+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3890711513 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:08:05+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3890711513 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:08:06+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3890711513 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:08:08+01:00" level=info msg="Handshake timed out" durationNs=10098091553 handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3890711513 remoteIndex=0 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:08:58+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3838656843 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:08:58+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3838656843 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:08:59+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3838656843 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:08:59+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3838656843 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:09:00+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3838656843 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:09:01+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3838656843 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:09:02+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3838656843 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:09:03+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3838656843 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:09:05+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3838656843 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:09:06+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3838656843 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:09:08+01:00" level=info msg="Handshake timed out" durationNs=10099442773 handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3838656843 remoteIndex=0 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:09:58+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=2157807239 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:09:58+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=2157807239 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:09:59+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=2157807239 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:09:59+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=2157807239 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:10:00+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=2157807239 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:10:01+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=2157807239 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:10:02+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=2157807239 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:10:03+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=2157807239 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:10:04+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=2157807239 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:10:06+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=2157807239 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:10:08+01:00" level=info msg="Handshake timed out" durationNs=9599470200 handshake="map[stage:1 style:ix_psk0]" initiatorIndex=2157807239 remoteIndex=0 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:10:58+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3166839894 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:10:58+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3166839894 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:10:59+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3166839894 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:10:59+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3166839894 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:11:00+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3166839894 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:11:01+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3166839894 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:11:02+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3166839894 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
time="2025-03-06T16:11:03+01:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3166839894 udpAddrs="[52.232.40.228:4242]" vpnIp=192.168.80.4
